315,7.7,300.2,7.62,12.1,290.9,11.78,15,284.9,14.4,18.7,276.6,17.72,23.2,267.6,21.64,28.6,256.3,26.13,35.2,242.4,31.38,43,226.1,37.16,315
355,8.7,338.2,9.69,13.6,327.9,14.88,16.9,321,18.28,21.1,312.1,22.55,26.1,301.6,27.43,32.2,288.8,33.16,39.6,273.3,39.76,48.5,254.6,47.24,355
400,9.8,380,12.28,15.3,369.5,18.88,19.1,361.5,23.31,23.7,351.9,28.5,29.4,339.9,34.79,36.3,325.4,42.1,44.7,307.8,50.55,54.6,287,59.92,400
450,11,428.9,15.49,17.2,415.8,23.87,21.5,406.8,29.48,26.7,395.9,36.11,33.1,382.4,44.07,40.9,366.1,53.31,50.2,346.5,63.9,61.5,322.8,75.92,450
500,12.3,476.3,19.28,19.1,462,29.45,23.9,452,36.37,29.6,439.9,44.48,36.8,424.9,54.38,45.4,406.8,65.78,55.8,385,48.86,,,,500
560,13.7,533.6,24,21.4,517.4,36.91,26.7,506.4,45.52,33.2,492.7,55.89,41.2,475.8,68.22,50.8,455.8,82.4,62.5,430.3,98.93,,,,560
630,15.4,600.4,30.37,24.1,582.1,46.77,30,569.8,57.5,37.3,554.4,70.62,46.3,535.5,86.23,57.2,512.6,104.42,70.3,484.1,125.2,,,,630
710,17.4,676.5,38.65,27.2,655.9,59.45,33.9,641.9,73.22,42.1,624.6,89.82,52.2,603.4,109.55,64.5,577.6,132.64,79.3,546.5,159.13,,,,710
800,19.6,762.3,49.01,30.6,739.2,75.29,38.1,723.4,92.8,47.4,703.9,113.89,58.8,680,138.96,72.5,651,168.11,89.3,615.9,201.9,,,,800
900,22,857.8,61.81,34.4,831.7,95.23,42.9,813.9,117.42,53.5,791.7,144.55,66.2,764.9,176.04,81.7,732.4,212.91,,,,,,,900
1000,24.5,952.9,76.54,38.2,924.1,117.5,47.7,904.2,145.07,59.3,879.8,178.06,72.5,852.1,214.41,90.3,814.9,261.4,,,,,,,1000
1200,29.4,1143.1,110.14,45.9,1108.5,169.18,57.2,1084.7,208.73,67.9,1062.7,245.17,88.2,1020,312.54,,,,,,,,,,1200
1400,34.4,1332.6,150.19,53.2,1293.1,239.54,66.7,1266.1,283.64,82.4,1233.1,346.07,,,,,,,,,,,,,1400
1600,39.3,1522.3,195.75,61.3,1476.1,300.95,76.2,1447,370.23,94.1,1409.4,451.49,,,,,,,,,,,,,1600
1800,43.8,1716,,69.1,1662.8,,85.7,1628,468.94,,,,,,,,,,,,,,,,1800
2000,48.8,1906.4,,76.9,1847.4,,95.2,1808.9,578.91,,,,,,,,,,,,,,,,2000
,,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/IMEConsultants/AS4130-HDPE-PIPE,,,,,,,,,,,,,,,,,,,,,,,,,
IME Consultants Pty Ltd,,,,,,,,,,,,,,,,,,,,,,,,,
